,sentiment,post
0,1,Client work for rt and favorite happy.1
1,1,year old i am commenting on all the new ladylike videos. trust me. not a troll
2,1,Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile.1
3,1,Surround yourself with positivity happy.1
4,1,getting 70k
5,0,Becoz if we will depend on your promoting its waste of hardwork to all team who
6,0,Youngjae looked so 😔 in the video 😧
7,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.14
8,0,Work at 7 this morning 😧
9,1,Yes.1
10,1,30 likes?} hehe
11,0,but in reality they're just patches of dusty dirt 😧
12,1,who knows 😄
13,0,got to aksis 2nd part and have a CP for him but have never completed it since return on investment dropped laughing out loud 😧
14,1,plus I want to win that Merc C63 silence Sooo! 😊
15,0,Today is 4-20 which is Hitler's birthday 😧
16,1,Tell us about 😊
17,0,I'm so sorry to see your tweet 😧 Please could you DM your address details? I will look i
18,1,on Snapchat 😊
19,0,I miss the 7/27 costumes 😧
20,1,chaged for the best for our Singto. Please
21,1,i wasn't saying i read a book today.1
22,0,i don%27t know if you saw my comment yet
23,1,Alaye give me iphone7 or dollars for my birthdayDo normal abeg
24,0,Hey screenshot sainyo . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what . Luv uu so mats
25,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday. Want this.3
26,1,instant message perfectly fine 😄 how about you fellow ken
27,0,Scout photobombed my bluebells photo 😔
28,0,Deep scratch ;_;All the paint is gone you see the bare metal. So it needs to be fixed to avoid getting a rusting car soon 😧
29,0,younhappy I'll keep it jyoust for you
30,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday. Get this
31,0,We lost: at Jacksonville
32,0,One table last night told me I look like a graceful ballerina gliding through tables- then another told me I looked like a flash dancer 😧
33,1,Im getting one too 😭 😭 😭 😭
34,0,Joy we should get him back
35,0,Never want to finish desperate housewives what will I do with my life 😧
36,1,Thanks for the recent follow Happy to connect 😊 have a great Thursday..13
37,0,if i get 900 retweets and 900 likes. help me 😧 un.2
38,0,let alone for free!)
39,1,Nice gif 😊
40,1,Mmmm... the blood of my enemies... 😊
41,1,We bought a 523 litre fridge. I am applying for cold storage license in Bhayander West 😄
42,0,Nooo your hair color is pretty
43,0,now i don%27t want to go camp 😧
44,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.8
45,1,SONE who cant stream at Genie!You CAN stream for TY at Genie! We are still sharing some Genie IDs. If you want it.2
46,0,yeah 😔
47,0,Been streaminuteg for 45 minute not understanding a thing and still.. 😧
48,0,Ye... I will miss you 😧
49,0,beauty
50,1,Can you PM me ? 😄
51,1,Released my 3rd episode of programming for everyone! Be sure to check it out 😊
52,1,Hi Kylie
53,0,Why is it so difficult for me to get at least a chance 😧
54,1,Happy birthday
55,1,As the last event for chapter 1
56,0,I WAITED FOR YOU 😧
57,1,Bill Nye Answers Science Questions From Twitter | WIRED
58,1,we just reply to his tweets?? Like all his other followers do.....This is pointless
59,0,Definitely my arms 😧 .7
60,1,I'm not lost
61,0,No one is offering this poor old lady a seat 😧
62,1,Good Morning Peady
